"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"1","GS2sTv","Br6NAz","GCST012879","GCST90277238","Inverse variance weighted (multiplicative random effects)",12,0.0807518929514269,0.0821874500252212,0.325837267112161,-0.0803355090980067,0.24183929500086,1.08410188987666,0.922806684404015,1.27358950416922
"2","GS2sTv","Br6NAz","GCST012879","GCST90277238","Inverse variance weighted",12,0.0807518929514269,0.0821874500252212,0.325837267112161,-0.0803355090980067,0.24183929500086,1.08410188987666,0.922806684404015,1.27358950416922
"3","GS2sTv","Br6NAz","GCST012879","GCST90277238","Inverse variance weighted (fixed effects)",12,0.0807518929514269,0.0623038814821574,0.194941962964409,-0.0413637147536016,0.202867500656455,1.08410188987666,0.959480089411744,1.22491015770292
"4","gmocQk","8tm8lu","GCST012879","GCST90277239","Inverse variance weighted (multiplicative random effects)",5,0.0138713774179103,0.103270385073013,0.893148778556337,-0.188538577325195,0.216281332161016,1.01396803136436,0.828168554294754,1.24145159013486
"5","gmocQk","8tm8lu","GCST012879","GCST90277239","Inverse variance weighted",5,0.0138713774179103,0.103270385073013,0.893148778556337,-0.188538577325195,0.216281332161016,1.01396803136436,0.828168554294754,1.24145159013486
"6","gmocQk","8tm8lu","GCST012879","GCST90277239","Inverse variance weighted (fixed effects)",5,0.0138713774179103,0.0909629292399343,0.878796659254114,-0.164415963892361,0.192158718728182,1.01396803136436,0.848389049262197,1.21186284703112
"7","D3tYvh","2F04G9","GCST012879","GCST90277240","Inverse variance weighted (multiplicative random effects)",22,0.0682564635789883,0.0458417310167748,0.136498133340385,-0.0215933292138904,0.158106256371867,1.07063985340049,0.978638137678806,1.17129064519008
"8","D3tYvh","2F04G9","GCST012879","GCST90277240","Inverse variance weighted",22,0.0682564635789883,0.0458417310167748,0.136498133340385,-0.0215933292138904,0.158106256371867,1.07063985340049,0.978638137678806,1.17129064519008
"9","D3tYvh","2F04G9","GCST012879","GCST90277240","Inverse variance weighted (fixed effects)",22,0.0682564635789883,0.0399105522590222,0.0872222396335548,-0.00996821884869512,0.146481146006672,1.07063985340049,0.990081299172735,1.15775310234341
"10","Aw0Bgc","HdxxSh","GCST012879","GCST90277241","Inverse variance weighted (multiplicative random effects)",18,-0.0124680368163275,0.0476771633018764,0.79369953255115,-0.105915276888005,0.0809792032553503,0.987609367128992,0.899500853359243,1.08434834541661
"11","Aw0Bgc","HdxxSh","GCST012879","GCST90277241","Inverse variance weighted",18,-0.0124680368163275,0.0523127008335996,0.811619953928533,-0.115000930450183,0.0900648568175277,0.987609367128992,0.891365314535426,1.09424525066839
"12","Aw0Bgc","HdxxSh","GCST012879","GCST90277241","Inverse variance weighted (fixed effects)",18,-0.0124680368163275,0.0523127008335996,0.811619953928533,-0.115000930450183,0.0900648568175277,0.987609367128992,0.891365314535426,1.09424525066839
"13","W0ximH","eTUAa0","GCST012879","GCST90277242","Inverse variance weighted (multiplicative random effects)",14,0.0654224087459231,0.0570556913181122,0.25152992406584,-0.0464067462375767,0.177251563729423,1.06760989690893,0.954653581457421,1.19393140518871
"14","W0ximH","eTUAa0","GCST012879","GCST90277242","Inverse variance weighted",14,0.0654224087459231,0.0570556913181122,0.25152992406584,-0.0464067462375767,0.177251563729423,1.06760989690893,0.954653581457421,1.19393140518871
"15","W0ximH","eTUAa0","GCST012879","GCST90277242","Inverse variance weighted (fixed effects)",14,0.0654224087459231,0.0546987592465957,0.231677349184585,-0.0417871593774044,0.172631976869251,1.06760989690893,0.959073888734053,1.18842865535874
"16","asnVSa","jvBUeO","GCST012879","GCST90277243","Inverse variance weighted (multiplicative random effects)",9,0.10423023937615,0.0840915799494711,0.215165995820329,-0.0605892573248136,0.269049736077113,1.10985595804441,0.94120975540419,1.3087202300381
"17","asnVSa","jvBUeO","GCST012879","GCST90277243","Inverse variance weighted",9,0.10423023937615,0.0840915799494711,0.215165995820329,-0.0605892573248136,0.269049736077113,1.10985595804441,0.94120975540419,1.3087202300381
"18","asnVSa","jvBUeO","GCST012879","GCST90277243","Inverse variance weighted (fixed effects)",9,0.10423023937615,0.075024587071523,0.164747294755955,-0.0428179512840353,0.251278430036335,1.10985595804441,0.958085792479986,1.28566800309003
"19","aCOnzA","rA0iXU","GCST012879","GCST90277244","Inverse variance weighted (multiplicative random effects)",17,0.0780592980626738,0.0574866360814467,0.174505382479424,-0.0346145086569618,0.190733104782309,1.08118676905005,0.965977720541753,1.21013642935086
"20","aCOnzA","rA0iXU","GCST012879","GCST90277244","Inverse variance weighted",17,0.0780592980626738,0.0574866360814467,0.174505382479424,-0.0346145086569618,0.190733104782309,1.08118676905005,0.965977720541753,1.21013642935086
"21","aCOnzA","rA0iXU","GCST012879","GCST90277244","Inverse variance weighted (fixed effects)",17,0.0780592980626738,0.046493985919233,0.0931692492529679,-0.0130689143390229,0.16918751046437,1.08118676905005,0.987016113113432,1.18434219465933
"22","FrGmOD","92ekkz","GCST012879","GCST90277245","Inverse variance weighted (multiplicative random effects)",19,0.0230828434402237,0.0487196011793232,0.635649906421651,-0.0724075748712498,0.118573261751697,1.02335131397907,0.930151712079281,1.12588935570699
"23","FrGmOD","92ekkz","GCST012879","GCST90277245","Inverse variance weighted",19,0.0230828434402237,0.0487196011793232,0.635649906421651,-0.0724075748712498,0.118573261751697,1.02335131397907,0.930151712079281,1.12588935570699
"24","FrGmOD","92ekkz","GCST012879","GCST90277245","Inverse variance weighted (fixed effects)",19,0.0230828434402237,0.0441809750622343,0.60134928301399,-0.0635118676817555,0.109677554562203,1.02335131397907,0.938462981854568,1.11591818971181
"25","309VFt","0IzSjw","GCST012879","GCST90277246","Inverse variance weighted (multiplicative random effects)",14,0.0167632133997202,0.0564845432129875,0.76663811624172,-0.0939464912977353,0.127472918097176,1.01690450445472,0.910331471593244,1.13595410402593
"26","309VFt","0IzSjw","GCST012879","GCST90277246","Inverse variance weighted",14,0.0167632133997202,0.0564845432129875,0.76663811624172,-0.0939464912977353,0.127472918097176,1.01690450445472,0.910331471593244,1.13595410402593
"27","309VFt","0IzSjw","GCST012879","GCST90277246","Inverse variance weighted (fixed effects)",14,0.0167632133997202,0.0442064008081192,0.704536895631729,-0.0698813321841935,0.103407758983634,1.01690450445472,0.932504471609296,1.10894349857185
