"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"1","GS2sTv","Br6NAz","GCST012879","GCST90277238","MR Egger",12,0.238693917412285,0.231236292955749,0.326273377074482,-0.214529216780983,0.691917051605553,1.2695898777509,0.80692123574648,1.99754125468817
"2","GS2sTv","Br6NAz","GCST012879","GCST90277238","Weighted median",12,0.125202284080698,0.0965458147005328,0.194694051977599,-0.0640275127323468,0.314432080893742,1.13337769414508,0.937979192805246,1.36948133544826
"3","GS2sTv","Br6NAz","GCST012879","GCST90277238","Inverse variance weighted",12,0.0807518929514269,0.0821874500252212,0.325837267112161,-0.0803355090980067,0.24183929500086,1.08410188987666,0.922806684404015,1.27358950416922
"4","GS2sTv","Br6NAz","GCST012879","GCST90277238","Simple mode",12,0.284316545765677,0.190778271115413,0.164251749569474,-0.0896088656205334,0.658241957151887,1.32885350713433,0.914288725096755,1.93139387477008
"5","GS2sTv","Br6NAz","GCST012879","GCST90277238","Weighted mode",12,0.253817363642997,0.207875478111155,0.24760909642519,-0.153618573454866,0.66125330074086,1.28893637612544,0.857599069685229,1.93721873125302
"6","gmocQk","8tm8lu","GCST012879","GCST90277239","MR Egger",5,0.0394020970209834,0.252628808760321,0.885962164110961,-0.455750368149246,0.534554562191213,1.0401886563315,0.633972076969772,1.70668784961695
"7","gmocQk","8tm8lu","GCST012879","GCST90277239","Weighted median",5,0.105583853010023,0.123973752074534,0.394401182713914,-0.137404701056064,0.34857240707611,1.1113592914376,0.871617410258032,1.41704314315961
"8","gmocQk","8tm8lu","GCST012879","GCST90277239","Inverse variance weighted",5,0.0138713774179103,0.103270385073013,0.893148778556337,-0.188538577325195,0.216281332161016,1.01396803136436,0.828168554294754,1.24145159013486
"9","gmocQk","8tm8lu","GCST012879","GCST90277239","Simple mode",5,0.164498613472207,0.169576875334669,0.386951073738353,-0.167872062183744,0.496869289128158,1.17880193510883,0.845461994326939,1.64356767251559
"10","gmocQk","8tm8lu","GCST012879","GCST90277239","Weighted mode",5,0.132592779125533,0.153917764566236,0.437567670972611,-0.169086039424289,0.434271597675356,1.14178494498386,0.844436245451948,1.5438381140237
"11","D3tYvh","2F04G9","GCST012879","GCST90277240","MR Egger",22,-0.0265526979531377,0.0917879404866691,0.77534220683229,-0.206457061307009,0.153351665400734,0.973796725389158,0.813461189667353,1.16573485548392
"12","D3tYvh","2F04G9","GCST012879","GCST90277240","Weighted median",22,0.053620385427626,0.0626028254661512,0.39171186338191,-0.0690811524860304,0.176321923341282,1.05508400086104,0.933250941371069,1.19282199409036
"13","D3tYvh","2F04G9","GCST012879","GCST90277240","Inverse variance weighted",22,0.0682564635789883,0.0458417310167748,0.136498133340385,-0.0215933292138904,0.158106256371867,1.07063985340049,0.978638137678806,1.17129064519008
"14","D3tYvh","2F04G9","GCST012879","GCST90277240","Simple mode",22,0.229494921622437,0.126613930220463,0.084222943806583,-0.0186683816096701,0.477658224854544,1.25796447878849,0.981504793320021,1.61229434707165
"15","D3tYvh","2F04G9","GCST012879","GCST90277240","Weighted mode",22,0.0630267307717751,0.0741807416430171,0.405109304282945,-0.0823675228485385,0.208420984392089,1.06505530860118,0.920933432413692,1.23173160019453
"16","Aw0Bgc","HdxxSh","GCST012879","GCST90277241","MR Egger",18,0.275520975510009,0.158711811821531,0.101780168024442,-0.0355541756601925,0.58659612668021,1.31721673380184,0.965070449485,1.79785830633761
"17","Aw0Bgc","HdxxSh","GCST012879","GCST90277241","Weighted median",18,-0.0539506196219494,0.0724436786987323,0.456437974312536,-0.195940229871465,0.088038990627566,0.947478892212533,0.822061367923446,1.09203070016044
"18","Aw0Bgc","HdxxSh","GCST012879","GCST90277241","Inverse variance weighted",18,-0.0124680368163275,0.0523127008335996,0.811619953928533,-0.115000930450183,0.0900648568175277,0.987609367128992,0.891365314535426,1.09424525066839
"19","Aw0Bgc","HdxxSh","GCST012879","GCST90277241","Simple mode",18,-0.0604397885970189,0.111015447932563,0.593217912654948,-0.278030066544842,0.157150489350804,0.941350447343179,0.757274052557787,1.17017169903043
"20","Aw0Bgc","HdxxSh","GCST012879","GCST90277241","Weighted mode",18,-0.0604397885970189,0.0911223833303651,0.516044489116055,-0.239039659924535,0.118160082730497,0.941350447343179,0.787383654177134,1.12542425793596
"21","W0ximH","eTUAa0","GCST012879","GCST90277242","MR Egger",14,0.11434855503881,0.18223788097144,0.542107813357766,-0.242837691665211,0.471534801742832,1.12114283677288,0.78439881790596,1.60245175254438
"22","W0ximH","eTUAa0","GCST012879","GCST90277242","Weighted median",14,0.0878892986663195,0.0762930444440877,0.249322627414403,-0.0616450684440924,0.237423665776731,1.09186724417752,0.940216540095009,1.26797820296518
"23","W0ximH","eTUAa0","GCST012879","GCST90277242","Inverse variance weighted",14,0.0654224087459231,0.0570556913181122,0.25152992406584,-0.0464067462375767,0.177251563729423,1.06760989690893,0.954653581457421,1.19393140518871
"24","W0ximH","eTUAa0","GCST012879","GCST90277242","Simple mode",14,0.116442494891737,0.129053304579428,0.383320378659124,-0.136501982083942,0.369386971867416,1.1234929020286,0.872404591078777,1.4468473845923
"25","W0ximH","eTUAa0","GCST012879","GCST90277242","Weighted mode",14,0.100288325805382,0.114621947370864,0.397479073156042,-0.12437069104151,0.324947342652275,1.10548961331251,0.883052440575414,1.38395776851655
"26","asnVSa","jvBUeO","GCST012879","GCST90277243","MR Egger",9,0.388404790075322,0.168621664125424,0.0547154922982273,0.0579063283894903,0.718903251761153,1.47462657769543,1.05961573514898,2.05218124978107
"27","asnVSa","jvBUeO","GCST012879","GCST90277243","Weighted median",9,0.174076341914329,0.107118417507728,0.104144829650582,-0.0358757564008168,0.384028440229476,1.19014642040838,0.964760151310732,1.46818719666901
"28","asnVSa","jvBUeO","GCST012879","GCST90277243","Inverse variance weighted",9,0.10423023937615,0.0840915799494711,0.215165995820329,-0.0605892573248136,0.269049736077113,1.10985595804441,0.94120975540419,1.3087202300381
"29","asnVSa","jvBUeO","GCST012879","GCST90277243","Simple mode",9,0.267199042909004,0.184407359300794,0.185385791371663,-0.0942393813205523,0.628637467138559,1.30630043029349,0.910064883630141,1.87505401524587
"30","asnVSa","jvBUeO","GCST012879","GCST90277243","Weighted mode",9,0.240688025147826,0.174474212622986,0.205069241641661,-0.101281431593226,0.582657481888878,1.27212410266607,0.903678673366331,1.79079110781221
