"","id.exposure","id.outcome","outcome","exposure","method","Q","Q_df","Q_pval"
"1","GS2sTv","Br6NAz","GCST012879","GCST90277238","MR Egger",18.1651873030917,10,0.0522402796345955
"2","GS2sTv","Br6NAz","GCST012879","GCST90277238","Inverse variance weighted",19.1413907921546,11,0.058602240329494
"3","gmocQk","8tm8lu","GCST012879","GCST90277239","MR Egger",5.13318437283448,3,0.162300498588603
"4","gmocQk","8tm8lu","GCST012879","GCST90277239","Inverse variance weighted",5.15564148451124,4,0.271697256969022
"5","D3tYvh","2F04G9","GCST012879","GCST90277240","MR Egger",25.8779470492746,20,0.169880865841573
"6","D3tYvh","2F04G9","GCST012879","GCST90277240","Inverse variance weighted",27.7054901039306,21,0.14870334267758
"7","Aw0Bgc","HdxxSh","GCST012879","GCST90277241","MR Egger",10.4268105596485,16,0.843409623718391
"8","Aw0Bgc","HdxxSh","GCST012879","GCST90277241","Inverse variance weighted",14.1206748143084,17,0.658542161458658
"9","W0ximH","eTUAa0","GCST012879","GCST90277242","MR Egger",14.0501152086589,12,0.297519464958323
"10","W0ximH","eTUAa0","GCST012879","GCST90277242","Inverse variance weighted",14.1444591499709,13,0.363749708828164
"11","asnVSa","jvBUeO","GCST012879","GCST90277243","MR Egger",6.50931990244783,7,0.481688473910241
"12","asnVSa","jvBUeO","GCST012879","GCST90277243","Inverse variance weighted",10.0505026857172,8,0.261499171885757
"13","aCOnzA","rA0iXU","GCST012879","GCST90277244","MR Egger",24.4255716324423,15,0.0582100462767495
"14","aCOnzA","rA0iXU","GCST012879","GCST90277244","Inverse variance weighted",24.4602119051142,16,0.0799237591633396
"15","FrGmOD","92ekkz","GCST012879","GCST90277245","MR Egger",21.3732315116683,17,0.210039008270527
"16","FrGmOD","92ekkz","GCST012879","GCST90277245","Inverse variance weighted",21.8881653712574,18,0.236988111767593
"17","309VFt","0IzSjw","GCST012879","GCST90277246","MR Egger",20.4872951551601,12,0.0584114508538322
"18","309VFt","0IzSjw","GCST012879","GCST90277246","Inverse variance weighted",21.2242464682743,13,0.0686100725865387
"19","WECm9u","jvBUeO","GCST012879","GCST90277247","MR Egger",17.0658539647242,12,0.147136851649677
"20","WECm9u","jvBUeO","GCST012879","GCST90277247","Inverse variance weighted",22.0089537243691,13,0.0552232001209232
"21","q5gP3G","jvBUeO","GCST012879","GCST90277248","MR Egger",19.9703874707744,16,0.221557346568519
"22","q5gP3G","jvBUeO","GCST012879","GCST90277248","Inverse variance weighted",20.1920093320055,17,0.264526344069342
"23","nbQHIF","eTUAa0","GCST012879","GCST90277249","MR Egger",23.3988975158263,18,0.175723162419342
"24","nbQHIF","eTUAa0","GCST012879","GCST90277249","Inverse variance weighted",23.8712924404848,19,0.201135831684804
"25","KsN3wf","bQtTCU","GCST012879","GCST90277250","MR Egger",27.1412143186973,17,0.0560290259893548
"26","KsN3wf","bQtTCU","GCST012879","GCST90277250","Inverse variance weighted",27.2809788652831,18,0.0738741117885862
"27","NM5Ymx","0IzSjw","GCST012879","GCST90277251","MR Egger",25.629488178967,14,0.0288382711256942
"28","NM5Ymx","0IzSjw","GCST012879","GCST90277251","Inverse variance weighted",25.6696951394681,15,0.0416412069438524
