"","","RSSobs","Pvalue","exposure","outcome"
"1",1,23.3853675776091,0.057,"GCST90277238","GCST012879"
"2",1,7.63664313653057,0.378,"GCST90277239","GCST012879"
"3",1,29.954278832637,0.177,"GCST90277240","GCST012879"
"4",1,15.5630898755014,0.687,"GCST90277241","GCST012879"
"5",1,16.1105787652926,0.394,"GCST90277242","GCST012879"
"6",1,12.8135043272864,0.272,"GCST90277243","GCST012879"
"7",1,28.2010904671434,0.088,"GCST90277244","GCST012879"
"8",1,24.3473483119287,0.247,"GCST90277245","GCST012879"
"9",1,23.492991460376,0.106,"GCST90277246","GCST012879"
"10",1,29.1266743738268,0.052,"GCST90277247","GCST012879"
"11",1,24.310474593965,0.236,"GCST90277248","GCST012879"
"12",1,27.1541353897499,0.201,"GCST90277249","GCST012879"
"13",1,30.2038337401494,0.193,"GCST90277250","GCST012879"
"14",1,28.9508789268297,0.05,"GCST90277251","GCST012879"
"15",1,12.6604552191074,0.699,"GCST90277252","GCST012879"
"16",1,16.9583213651419,0.591,"GCST90277253","GCST012879"
"17",1,21.0018346200173,0.172,"GCST90277254","GCST012879"
"18",1,17.9147595497726,0.301,"GCST90277255","GCST012879"
"19",1,32.2638067876188,0.147,"GCST90277256","GCST012879"
"20",1,19.1524347722331,0.463,"GCST90277257","GCST012879"
"21",1,10.999368490062,0.34,"GCST90277258","GCST012879"
"22",1,20.094102286993,0.346,"GCST90277259","GCST012879"
"23",1,17.9651256894514,0.251,"GCST90277260","GCST012879"
"24",1,24.0552901501404,0.26,"GCST90277261","GCST012879"
"25",1,26.6907872642686,0.354,"GCST90277262","GCST012879"
"26",1,11.339734492346,0.721,"GCST90277263","GCST012879"
"27",1,15.6110328204939,0.427,"GCST90277264","GCST012879"
"28",1,14.2923780234832,0.584,"GCST90277265","GCST012879"
"29",1,11.1892192773605,0.444,"GCST90277266","GCST012879"
"30",1,21.8706201435097,0.087,"GCST90277267","GCST012879"
"31",1,54.3616162186763,0.173,"GCST90277268","GCST012879"
"32",1,30.2038337401494,0.193,"GCST90277250","GCST012879"
"33",1,23.5918426366788,0.243,"GCST90277288","GCST012879"
"34",1,42.0067652829952,0.154,"GCST90277298","GCST012879"
"35",1,33.0211341233371,0.275,"GCST90277305","GCST012879"
"36",1,18.8819575888351,0.472,"GCST90277311","GCST012879"
"37",1,4.48044810776614,0.966,"GCST90277330","GCST012879"
"38",1,19.8432345376953,0.264,"GCST90277336","GCST012879"
