"","RSSobs","Pvalue"
"1",0.000847448598996906,"1"
"2",0.00194704811460767,"0.731"
"3",0.000963884039870359,"1"
"4",0.00428332662039014,"1"
"5",0.00276110671708181,"0.391"
"7",0.0107476778174936,"<0.017"
"8",0.019701215949535,"1"
"9",3.22742556084541e-05,"1"
"10",0.00872518882020691,"0.068"
"11",0.000290219836689173,"1"
"12",0.00045932185802441,"1"
"13",0.000312636508476795,"1"
"14",0.00195970233247169,"1"
"15",0.00154462729839579,"1"
"16",0.000305390578499103,"1"
"17",0.000270473131591041,"1"
"18",7.51715724413615e-06,"1"
