"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"1","WECm9u","Tnn3eu","GCST012879","GCST90277247","MR Egger",14,0.419653497072008,0.152796357753022,0.0177171367806532,0.120172635876085,0.719134358267932,1.52143428283938,1.12769151478857,2.05265557702893
"2","WECm9u","Tnn3eu","GCST012879","GCST90277247","Weighted median",14,0.15507419169201,0.0765138414818454,0.0426883025294487,0.00510706238759279,0.305041320996427,1.16774459483866,1.00512012565956,1.35668106126131
"3","WECm9u","Tnn3eu","GCST012879","GCST90277247","Inverse variance weighted",14,0.156152036514781,0.0633434650266832,0.0136950510929781,0.0319988450624821,0.28030522796708,1.16900392086162,1.0325163128126,1.32353373020062
"4","WECm9u","Tnn3eu","GCST012879","GCST90277247","Simple mode",14,0.171240045613525,0.125383911529272,0.195189398827449,-0.0745124209838483,0.416992512210898,1.18677559510816,0.928195944880542,1.51739115098762
"5","WECm9u","Tnn3eu","GCST012879","GCST90277247","Weighted mode",14,0.160330912883164,0.119609059773598,0.203052894326046,-0.0741028442730881,0.394764670039417,1.17389926511632,0.928576190187083,1.48403491194729
"6","nbQHIF","jvBUeO","GCST012879","GCST90277249","MR Egger",20,0.14581293636038,0.0981792707422434,0.154801893035,-0.0466184342944175,0.338244307015176,1.15697973896561,0.954451514084186,1.40248309801399
"7","nbQHIF","jvBUeO","GCST012879","GCST90277249","Weighted median",20,0.0504956422379435,0.0609036650393753,0.407043981744037,-0.0688755412392322,0.169866825715119,1.05179227988453,0.933442847989103,1.18514700970488
"8","nbQHIF","jvBUeO","GCST012879","GCST90277249","Inverse variance weighted",20,0.0936890732247092,0.0457201552135574,0.0404439920012582,0.00407756900613655,0.183300577443282,1.09821822737429,1.00408589360149,1.20117540005577
"9","nbQHIF","jvBUeO","GCST012879","GCST90277249","Simple mode",20,-0.049585307740091,0.108554849676521,0.653010698758334,-0.262352813106072,0.163182197625891,0.951623973783065,0.769239578020758,1.17725116251654
"10","nbQHIF","jvBUeO","GCST012879","GCST90277249","Weighted mode",20,-0.00672806000673365,0.0778514753681494,0.932035424700428,-0.159316951728306,0.145860831714839,0.993294522714642,0.852726043139715,1.15703515424737
"11","KsN3wf","bQtTCU","GCST012879","GCST90277250","MR Egger",19,0.0875125037851679,0.0450111758979875,0.0686053312329991,-0.000709400974887642,0.175734408545224,1.09145591168787,0.999290850590493,1.19212139934481
"12","KsN3wf","bQtTCU","GCST012879","GCST90277250","Weighted median",19,0.0830058364676906,0.027208260598338,0.00228263976638904,0.0296776456949481,0.136334027240433,1.0865481501329,1.03012241603103,1.14606464647758
"13","KsN3wf","bQtTCU","GCST012879","GCST90277250","Inverse variance weighted",19,0.0971788117356926,0.0301672828452653,0.00127596567240125,0.0380509373589727,0.156306686112412,1.1020574168032,1.03878414445176,1.16918472082758
