"","id.exposure","id.outcome","outcome","exposure","method","Q","Q_df","Q_pval"
"1","WECm9u","Tnn3eu","GCST012879","GCST90277247","MR Egger",17.0658539647242,12,0.147136851649677
"2","WECm9u","Tnn3eu","GCST012879","GCST90277247","Inverse variance weighted",22.0089537243691,13,0.0552232001209232
"3","nbQHIF","jvBUeO","GCST012879","GCST90277249","MR Egger",23.3988975158263,18,0.175723162419342
"4","nbQHIF","jvBUeO","GCST012879","GCST90277249","Inverse variance weighted",23.8712924404848,19,0.201135831684804
"5","KsN3wf","bQtTCU","GCST012879","GCST90277250","MR Egger",27.1412143186973,17,0.0560290259893548
"6","KsN3wf","bQtTCU","GCST012879","GCST90277250","Inverse variance weighted",27.2809788652831,18,0.0738741117885862
"7","m958aS","0IzSjw","GCST012879","GCST90277266","MR Egger",8.85350446291825,8,0.354804587402459
"8","m958aS","0IzSjw","GCST012879","GCST90277266","Inverse variance weighted",9.21359958258054,9,0.417795434595009
"9","NYdqdr","GSatlJ","GCST012879","GCST90277268","MR Egger",21.8601037804749,10,0.0158333629736796
"10","NYdqdr","GSatlJ","GCST012879","GCST90277268","Inverse variance weighted",24.4000633437135,11,0.0111480474915059
"11","KsN3wf","8tm8lu","GCST012879","GCST90277250","MR Egger",27.1412143186973,17,0.0560290259893548
"12","KsN3wf","8tm8lu","GCST012879","GCST90277250","Inverse variance weighted",27.2809788652831,18,0.0738741117885862
"13","RTvsF8","0IzSjw","GCST012879","GCST90277288","MR Egger",12.5112103779892,10,0.252298064614557
"14","RTvsF8","0IzSjw","GCST012879","GCST90277288","Inverse variance weighted",14.5878065839271,11,0.202155465003404
"15","VDGwEH","8tm8lu","GCST012879","GCST90277298","MR Egger",31.8562551582528,23,0.103169934419561
"16","VDGwEH","8tm8lu","GCST012879","GCST90277298","Inverse variance weighted",34.4003560551451,24,0.0778010333249428
"17","u5hqzI","qdac6V","GCST012879","GCST90277305","MR Egger",10.4029356256326,11,0.494547938529632
"18","u5hqzI","qdac6V","GCST012879","GCST90277305","Inverse variance weighted",14.8704508826488,12,0.248597730660385
"19","NyaOUZ","IoEPey","GCST012879","GCST90277311","MR Egger",11.2589549052681,13,0.589133998996565
"20","NyaOUZ","IoEPey","GCST012879","GCST90277311","Inverse variance weighted",12.6071407622749,14,0.557663837608866
"21","mXzmYb","0Lfo1A","GCST012879","GCST90277330","MR Egger",3.64899157903144,9,0.93296118389812
"22","mXzmYb","0Lfo1A","GCST012879","GCST90277330","Inverse variance weighted",4.05908855990264,10,0.944642020061294
"23","qzc7HT","Tnn3eu","GCST012879","GCST90277336","MR Egger",12.3322691222647,9,0.1952190309536
"24","qzc7HT","Tnn3eu","GCST012879","GCST90277336","Inverse variance weighted",13.4128139665665,10,0.201497712594966
