"","id.exposure","id.outcome","outcome","exposure","egger_intercept","se","pval"
"1","WECm9u","Tnn3eu","GCST012879","GCST90277247",-0.0390291818115088,0.0209345268109793,0.0869104656644586
"2","nbQHIF","jvBUeO","GCST012879","GCST90277249",-0.00860003113347376,0.0142662180306558,0.554145124697241
"3","KsN3wf","bQtTCU","GCST012879","GCST90277250",0.00349474054098436,0.011811542164633,0.770909207375484
"4","m958aS","0IzSjw","GCST012879","GCST90277266",-0.0181170805837748,0.031760856828976,0.584052943598925
"5","NYdqdr","GSatlJ","GCST012879","GCST90277268",-0.0184335841724669,0.0171010388964603,0.306383432151405
"6","KsN3wf","8tm8lu","GCST012879","GCST90277250",0.00349474054098436,0.011811542164633,0.770909207375484
"7","RTvsF8","0IzSjw","GCST012879","GCST90277288",-0.0173295613291639,0.0134512054089022,0.226641716968747
"8","VDGwEH","8tm8lu","GCST012879","GCST90277298",-0.0120991885152113,0.00892734915195772,0.188485225093316
"9","u5hqzI","qdac6V","GCST012879","GCST90277305",-0.0233751079750911,0.0110591208395543,0.0582074654909814
"10","NyaOUZ","IoEPey","GCST012879","GCST90277311",0.0152971278113331,0.0131745263942327,0.266472764154481
"11","mXzmYb","0Lfo1A","GCST012879","GCST90277330",0.0087772415604444,0.0137061274159924,0.537880949322811
"12","qzc7HT","Tnn3eu","GCST012879","GCST90277336",-0.0164297996393173,0.0185016777144263,0.397642798445436
