"","","RSSobs","Pvalue","exposure","outcome"
"1",1,29.1266743738268,0.052,"GCST90277247","GCST012879"
"2",1,27.1541353897499,0.201,"GCST90277249","GCST012879"
"3",1,30.2038337401494,0.193,"GCST90277250","GCST012879"
"4",1,11.1892192773605,0.444,"GCST90277266","GCST012879"
"5",1,54.3616162186763,0.173,"GCST90277268","GCST012879"
"6",1,30.2038337401494,0.193,"GCST90277250","GCST012879"
"7",1,23.5918426366788,0.243,"GCST90277288","GCST012879"
"8",1,42.0067652829952,0.154,"GCST90277298","GCST012879"
"9",1,33.0211341233371,0.275,"GCST90277305","GCST012879"
"10",1,18.8819575888351,0.472,"GCST90277311","GCST012879"
"11",1,4.48044810776614,0.966,"GCST90277330","GCST012879"
"12",1,19.8432345376953,0.264,"GCST90277336","GCST012879"
